Player_name,NATIONALITY,team_name,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,four,five,dream_11_points,consistency
CHGayle,INT,KXIP,15.0,1.0,3.0,0.0,17.0,2.0,2/17,8.5,5.66,9.0,0.0,0.0,54.0,54.0
RashidKhan,INT,SRH,38.0,38.0,144.0,1.0,870.0,77.0,5/3,11.29,6.04,11.2,3.0,2.0,1995.0,52.5
TNatarajan,IND,SRH,3.0,3.0,12.0,0.0,83.0,6.0,3/30,13.83,6.91,12.0,0.0,0.0,152.0,50.67
KuldeepYadav,IND,KKR,21.0,20.0,75.3,1.0,537.0,39.0,5/24,13.76,7.11,11.6,1.0,1.0,1011.0,50.55
LHFerguson,INT,KKR,11.0,11.0,40.0,0.0,278.0,21.0,5/21,13.23,6.95,11.4,0.0,1.0,543.0,49.36
ImranTahir,INT,CSK,15.0,15.0,54.5,0.0,370.0,26.0,5/23,14.23,6.74,12.6,0.0,2.0,684.0,45.6
LNgidi,INT,CSK,16.0,16.0,53.2,0.0,477.0,28.0,4/19,17.03,8.94,11.4,1.0,0.0,708.0,44.25
AMishra,IND,DC,3.0,3.0,12.0,0.0,72.0,5.0,3/24,14.4,6.0,14.4,0.0,0.0,127.0,42.33
CHMorris,INT,RR,15.0,15.0,54.0,3.0,442.0,23.0,4/27,19.21,8.18,14.0,1.0,0.0,619.0,41.27
AJTye,INT,RR,25.0,24.0,88.3,1.0,774.0,37.0,4/23,20.91,8.74,14.3,1.0,0.0,945.0,39.38
DSKulkarni,IND,MI,2.0,2.0,8.0,0.0,55.0,3.0,2/23,18.33,6.87,16.0,0.0,0.0,77.0,38.5
MustafizurRahman,INT,RR,31.0,31.0,110.5,3.0,970.0,45.0,5/22,21.55,8.75,14.7,1.0,1.0,1185.0,38.23
NASaini,IND,RCB,10.0,9.0,32.5,1.0,235.0,13.0,3/17,18.07,7.15,15.1,0.0,0.0,337.0,37.44
DLChahar,IND,CSK,13.0,13.0,47.5,1.0,362.0,18.0,6/7,20.11,7.56,15.9,0.0,1.0,478.0,36.77
JDUnadkat,IND,RR,10.0,10.0,34.4,0.0,301.0,14.0,3/38,21.5,8.68,14.8,0.0,0.0,350.0,35.0
TABoult,INT,MI,23.0,23.0,84.5,0.0,748.0,31.0,4/34,24.12,8.81,16.4,1.0,0.0,783.0,34.04
MujeebUrRahman,INT,SRH,19.0,19.0,72.0,0.0,443.0,25.0,4/15,17.72,6.15,17.2,1.0,0.0,635.0,33.42
UTYadav,IND,DC,6.0,6.0,22.0,0.0,195.0,8.0,2/19,24.37,8.86,16.5,0.0,0.0,200.0,33.33
MohsinKhan,IND,MI,3.0,3.0,9.0,0.0,72.0,4.0,3/37,18.0,8.0,13.5,0.0,0.0,100.0,33.33
SKaul,IND,SRH,3.0,3.0,9.4,0.0,84.0,4.0,2/35,21.0,8.68,14.5,0.0,0.0,100.0,33.33
SNThakur,IND,CSK,21.0,19.0,67.5,0.0,604.0,25.0,4/27,24.16,8.9,16.2,1.0,0.0,633.0,33.32
YSChahal,IND,RCB,48.0,48.0,187.3,1.0,1575.0,62.0,6/25,25.4,8.4,18.1,2.0,1.0,1594.0,33.21
ShakibAlHasan,INT,KKR,25.0,25.0,94.0,1.0,655.0,31.0,5/20,21.12,6.96,18.1,0.0,1.0,805.0,32.2
CJJordan,INT,KXIP,47.0,46.0,162.5,1.0,1430.0,58.0,4/6,24.65,8.78,16.8,2.0,0.0,1478.0,32.13
KWRichardson,INT,RCB,23.0,23.0,79.0,0.0,623.0,28.0,3/18,22.25,7.88,16.9,0.0,0.0,700.0,30.43
JJBumrah,IND,MI,38.0,37.0,135.4,4.0,937.0,43.0,3/11,21.79,6.9,18.9,0.0,0.0,1125.0,30.41
DJBravo,INT,CSK,18.0,17.0,64.1,0.0,483.0,20.0,3/19,24.15,7.52,19.2,0.0,0.0,500.0,29.41
AZampa,INT,RCB,39.0,38.0,132.5,1.0,926.0,43.0,3/14,21.53,6.97,18.5,0.0,0.0,1089.0,28.66
MJSantner,INT,CSK,46.0,45.0,154.2,1.0,1174.0,49.0,4/31,23.95,7.6,18.8,1.0,0.0,1245.0,27.67
KRabada,INT,DC,13.0,13.0,47.3,0.0,446.0,14.0,3/39,31.85,9.38,20.3,0.0,0.0,350.0,26.92
PJCummins,INT,KKR,15.0,15.0,51.0,0.0,368.0,16.0,2/13,23.0,7.21,19.1,0.0,0.0,400.0,26.67
JCArcher,INT,RR,11.0,11.0,41.0,1.0,308.0,11.0,3/23,28.0,7.51,22.3,0.0,0.0,287.0,26.09
NMCoulter-Nile,INT,MI,15.0,14.0,48.0,1.0,402.0,14.0,3/18,28.71,8.37,20.5,0.0,0.0,362.0,25.86
VKohli,IND,RCB,50.0,1.0,1.4,0.0,15.0,1.0,1/15,15.0,9.0,10.0,0.0,0.0,25.0,25.0
ADRussell,INT,KKR,13.0,13.0,47.0,0.0,400.0,13.0,2/23,30.76,8.51,21.6,0.0,0.0,325.0,25.0
AFMilne,INT,MI,6.0,6.0,19.4,0.0,158.0,6.0,2/25,26.33,8.03,19.6,0.0,0.0,150.0,25.0
RDChahar,IND,MI,2.0,1.0,3.0,0.0,27.0,1.0,1/27,27.0,9.0,18.0,0.0,0.0,25.0,25.0
TKCurran,INT,DC,28.0,27.0,90.0,1.0,838.0,26.0,4/36,32.23,9.31,20.7,1.0,0.0,670.0,24.81
SMCurran,INT,CSK,12.0,11.0,35.0,1.0,291.0,10.0,3/28,29.1,8.31,21.0,0.0,0.0,262.0,23.82
HHPandya,IND,MI,35.0,30.0,94.2,0.0,817.0,28.0,4/38,29.17,8.66,20.2,1.0,0.0,708.0,23.6
MohammedSiraj,IND,RCB,3.0,3.0,12.0,0.0,148.0,3.0,1/45,49.33,12.33,24.0,0.0,0.0,69.0,23.0
WashingtonSundar,IND,RCB,30.0,28.0,98.3,1.0,685.0,25.0,3/22,27.4,6.95,23.6,0.0,0.0,639.0,22.82
MohammedShami,IND,KXIP,8.0,8.0,29.4,0.0,303.0,7.0,2/25,43.28,10.21,25.4,0.0,0.0,173.0,21.62
BKumar,IND,SRH,33.0,32.0,115.2,0.0,856.0,27.0,5/24,31.7,7.42,25.6,0.0,1.0,691.0,21.59
RAJadeja,IND,CSK,17.0,16.0,50.3,1.0,370.0,13.0,2/18,28.46,7.32,23.3,0.0,0.0,337.0,21.06
VShankar,IND,SRH,9.0,6.0,21.0,0.0,191.0,5.0,2/32,38.2,9.09,25.2,0.0,0.0,125.0,20.83
KHPandya,IND,MI,18.0,18.0,66.2,1.0,538.0,14.0,4/36,38.42,8.11,28.4,1.0,0.0,370.0,20.56
MRMarsh,INT,SRH,13.0,5.0,8.0,0.0,52.0,4.0,2/6,13.0,6.5,12.0,0.0,0.0,102.0,20.4
KAPollard,INT,MI,34.0,19.0,42.2,0.0,381.0,15.0,4/25,25.4,9.0,16.9,1.0,0.0,383.0,20.16
KSWilliamson,INT,SRH,36.0,4.0,8.0,0.0,44.0,3.0,2/16,14.66,5.5,16.0,0.0,0.0,79.0,19.75
GJMaxwell,INT,RCB,42.0,21.0,42.0,0.0,334.0,16.0,3/10,20.87,7.95,15.7,0.0,0.0,400.0,19.05
MohammadNabi,INT,SRH,37.0,36.0,111.4,0.0,847.0,27.0,4/10,31.37,7.58,24.8,1.0,0.0,683.0,18.97
SPNarine,INT,KKR,17.0,16.0,59.0,0.0,395.0,12.0,3/11,32.91,6.69,29.5,0.0,0.0,302.0,18.88
BAStokes,INT,RR,21.0,19.0,51.2,0.0,431.0,14.0,3/26,30.78,8.39,22.0,0.0,0.0,350.0,18.42
RAshwin,IND,DC,7.0,7.0,22.0,0.0,169.0,5.0,2/11,33.8,7.68,26.4,0.0,0.0,125.0,17.86
MCHenriques,INT,KXIP,10.0,6.0,15.0,0.0,124.0,4.0,3/22,31.0,8.26,22.5,0.0,0.0,100.0,16.67
JDSNeesham,INT,MI,16.0,11.0,20.3,0.0,251.0,7.0,2/10,35.85,12.24,17.5,0.0,0.0,169.0,15.36
BCJCutting,INT,KKR,3.0,3.0,10.0,0.0,116.0,2.0,1/38,58.0,11.6,30.0,0.0,0.0,46.0,15.33
ANortje,INT,DC,5.0,5.0,19.0,0.0,155.0,3.0,1/24,51.66,8.15,38.0,0.0,0.0,75.0,15.0
MPStoinis,INT,DC,27.0,17.0,41.2,0.0,346.0,10.0,2/27,34.6,8.37,24.8,0.0,0.0,250.0,14.71
MMAli,INT,CSK,21.0,19.0,46.2,0.0,418.0,10.0,2/21,41.8,9.02,27.8,0.0,0.0,250.0,13.16
ARPatel,IND,DC,8.0,8.0,27.0,0.0,187.0,4.0,2/20,46.75,6.92,40.5,0.0,0.0,102.0,12.75
JRHazlewood,INT,CSK,4.0,4.0,16.0,0.0,126.0,2.0,1/23,63.0,7.87,48.0,0.0,0.0,50.0,12.5
SDube,IND,RR,13.0,11.0,21.3,0.0,216.0,5.0,3/30,43.2,10.04,25.8,0.0,0.0,123.0,11.18
SKRaina,IND,CSK,20.0,8.0,15.0,0.0,129.0,3.0,1/4,43.0,8.6,30.0,0.0,0.0,75.0,9.38
RashidKhan,INT,SRH,1.0,1.0,4.0,0.0,19.0,0.0,0,0.0,4.75,0.0,0.0,0.0,6.0,6.0
JagadeeshaSuchith,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VaibhavArora,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGopal,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KKNair,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RParag,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTewatia,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMarkande,IND,RR,1.0,1.0,4.0,0.0,31.0,0.0,0,0.0,7.75,0.0,0.0,0.0,0.0,0.0
MVohra,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HarbhajanSingh,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VenkateshIyer,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PawanNegi,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKLomror,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPGoswami,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KartikTyagi,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JCButtler,INT,RR,35.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
SVSamson,IND,RR,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
KMJadhav,IND,SRH,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
AnujRawat,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WPSaha,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PriyamGarg,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YBKJaiswal,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAMiller,INT,RR,39.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
K.SBharat,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSLivingstone,INT,RR,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
VRVSingh,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChetanSakariya,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FinnAllen,INT,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KyleJamieson,INT,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MohammedAzharuddeen,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RajatPatidar,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SachinBaby,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVPatel,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAWarner,INT,SRH,24.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
DanielSams,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbdulSamad,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPJackson,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KhaleelAhmed,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbhishekSharma,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BasilThampi,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShahbazAhmed,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PavanDeshpande,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JasonHolder,INT,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JonnyBairstow,INT,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SandeepSharma,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DevduttPadikkal,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKPandey,IND,SRH,37.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
ABdeVilliers,INT,RCB,11.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
ASingh,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KuldipYadav,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SuyashPrabhudessai,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCCariappa,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNadeem,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSDhoni,IND,CSK,34.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
CVVarun,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LukmanMeriwala,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPShaw,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RRPant,IND,DC,32.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
SDhawan,IND,DC,46.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
SOHetmyer,INT,DC,27.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
SPDSmith,INT,DC,19.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
RipalPatel,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VishnuVinod,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSiddharth,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TimSeifert,INT,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWBillings,INT,DC,24.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
RGSharma,IND,MI,54.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
APTare,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnukulRoy,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnmolpreetSingh,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALynn,INT,MI,13.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
IshanKishan,IND,MI,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
PDubey,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LalithYadav,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISharma,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRWoakes,INT,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMAsif,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FduPlessis,INT,CSK,19.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
NJagadeesan,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KVSharma,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSaiKishore,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RVUthappa,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDGaikwad,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KrishnappaGowtham,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPujara,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HarishankarReddy,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHariNishaanth,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BhagathVarma,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSIyer,IND,DC,28.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
AMRahane,IND,DC,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
AveshKhan,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JYadav,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QdeKock,INT,MI,22.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
SSTiwary,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDKarthik,IND,KKR,23.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
ShahrukhKhan,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RileyMeredith,INT,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JalajSaxena,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UtkarshSingh,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATRayudu,IND,CSK,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
SaurabhKumar,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EJGMorgan,INT,KKR,44.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
KLNagarkoti,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DawidMalan,INT,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRana,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPrasidhKrishna,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RATripathi,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSandeepWarrier,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RinkuSingh,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShivamMavi,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShubmanGill,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JhyeRichardson,INT,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SarfarazKhan,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAYadav,IND,MI,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
RBishnoi,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPChawla,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YudhvirCharak,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MarcoJansen,INT,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ArjunTendulkar,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLRahul,IND,KXIP,49.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
ArshdeepSingh,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DarshanNalkande,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJHooda,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HarpreetBrar,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IshanPorel,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MandeepSingh,IND,KXIP,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
MAAgarwal,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAshwin,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPooran,INT,KXIP,27.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
PrabhsimranSingh,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FabianAllen,INT,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTChristian,INT,RCB,1.0,1.0,0.3,0.0,7.0,0.0,0,0.0,14.0,0.0,0.0,0.0,-6.0,-6.0
